# gunzip -c exp_learning/inside/LDA_tri3/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_test_learning 
# Started at Sat Feb 22 13:00:48 CST 2020
#
Overall, g_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.7,26) frames.
Overall, ng1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (20,21.5,45) frames.
Overall, b_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.8,29) frames.
Overall, h_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.3,33) frames.
Overall, ng2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.7,47) frames.
Overall, nn2_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.0,34) frames.
Overall, ch_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.5,30) frames.
Overall, yu2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.4,43) frames.
Overall, l_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.8,24) frames.
Overall, u1_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,20.6,51) frames.
Overall, ch_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.1,30) frames.
Overall, i1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.9,64) frames.
Overall, a4_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.8,50) frames.
Overall, o3_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,21.6,53) frames.
The optional-silence phone SIL occupies 35.8% of frames overall 
Limiting the stats to the 65.3% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 3.5% of frames.
Assuming 100 frames per second, the alignments represent 139.8 hours of data, or 89.7 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 2.3% of utterance-internal phones, with duration (median, mean, 95-percentile) = (15,26.4,82)
# Accounting: time=3 threads=1
# Ended (code 0) at Sat Feb 22 13:00:51 CST 2020, elapsed time 3 seconds
